,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Closed Cases
98,Gabon,8621.0,53.0,7618.0,950.0,7671.0
99,Finland,8430.0,337.0,7500.0,593.0,7837.0
100,Haiti,8384.0,214.0,5991.0,2179.0,6205.0
101,Zimbabwe,7429.0,222.0,5542.0,1665.0,5764.0
102,Mauritania,7191.0,161.0,6701.0,329.0,6862.0
103,Luxembourg,7023.0,124.0,6292.0,607.0,6416.0
104,Montenegro,6094.0,114.0,4350.0,1630.0,4464.0
105,Malawi,5653.0,176.0,3630.0,1847.0,3806.0
106,Tunisia,5417.0,96.0,1862.0,3459.0,1958.0
107,Djibouti,5391.0,61.0,5327.0,3.0,5388.0
108,Equatorial Guinea,4990.0,83.0,4479.0,428.0,4562.0
109,Eswatini,4936.0,97.0,4077.0,762.0,4174.0
110,Hong Kong,4902.0,99.0,4557.0,246.0,4656.0
111,Congo,4891.0,83.0,3887.0,921.0,3970.0
112,Slovakia,4888.0,37.0,2947.0,1904.0,2984.0
113,Nicaragua,4818.0,144.0,2913.0,1761.0,3057.0
114,Mozambique,4764.0,28.0,2763.0,1973.0,2791.0
115,CAR,4736.0,62.0,1825.0,2849.0,1887.0
116,Cabo Verde,4473.0,43.0,3915.0,515.0,3958.0
117,Rwanda,4460.0,21.0,2325.0,2114.0,2346.0
118,Cuba,4459.0,104.0,3727.0,628.0,3831.0
119,Suriname,4447.0,92.0,3622.0,733.0,3714.0
120,Uganda,4101.0,46.0,1876.0,2179.0,1922.0
121,Thailand,3454.0,58.0,3310.0,86.0,3368.0
122,Jamaica,3437.0,38.0,1019.0,2380.0,1057.0
123,Mayotte,3374.0,40.0,2964.0,370.0,3004.0
124,Somalia,3371.0,97.0,2738.0,536.0,2835.0
125,Syria,3351.0,143.0,780.0,2428.0,923.0
126,Slovenia,3312.0,135.0,2587.0,590.0,2722.0
127,Gambia,3293.0,99.0,1460.0,1734.0,1559.0
128,Lithuania,3163.0,86.0,2008.0,1069.0,2094.0
129,Sri Lanka,3147.0,12.0,2946.0,189.0,2958.0
130,Angola,3092.0,126.0,1245.0,1721.0,1371.0
131,Mali,2898.0,128.0,2267.0,503.0,2395.0
132,Aruba,2730.0,15.0,1351.0,1364.0,1366.0
133,Bahamas,2721.0,63.0,1183.0,1475.0,1246.0
134,Jordan,2659.0,19.0,1919.0,721.0,1938.0
135,Trinidad and Tobago,2588.0,39.0,749.0,1800.0,788.0
136,Estonia,2585.0,64.0,2213.0,308.0,2277.0
137,South Sudan,2555.0,49.0,1290.0,1216.0,1339.0
138,Réunion,2416.0,13.0,1313.0,1090.0,1326.0
139,Guadeloupe,2287.0,23.0,336.0,1928.0,359.0
